BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,TROBL_TY_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC,LATITUDE,LONGITUDE
1010250772,시화그랜드볼링센타,10,볼링,41,경기,41390,시흥시,경기도 시흥시 정왕대로 178,B01 더페이스볼링장(정왕동),15036,0314333566,자유볼링,,4591014,2024,09,20240901,20240930,3,110000.00000,37.3478110596282,126.733968343949
1011483053,다모아탁구교실,21,탁구,48,경남,48170,진주시,경상남도 진주시 북장대로 49,3층(봉곡동),52680,,레슨(월회비),,4243014,2024,09,20240901,20240930,2,110000.00000,35.1944818717165,128.073487220158
1011483053,다모아탁구교실,21,탁구,48,경남,48170,진주시,경상남도 진주시 북장대로 49,3층(봉곡동),52680,,레슨(월회비),,4243014,2024,10,20241001,20241031,4,110000.00000,35.1944818717165,128.073487220158
1019135741,종로태권도아카데미,22,태권도,11,서울,11110,종로구,서울특별시 종로구 필운대로 116,2층 종로태권도아카데미(신교동),03035,027222001,태권도,,5183025,2024,09,20240901,20240930,1,185000.00000,37.5836886864173,126.970067022609
1019145161,하이운동발달센터,03,기타종목,30,대전,30170,서구,대전광역시 서구 관저로 175,5층(관저동),35379,,특수체육,,3864015,2024,09,20240901,20240930,11,110000.00000,36.2993329315742,127.341521337171
1020805383,커브스운정클럽,25,헬스,41,경기,41480,파주시,경기도 파주시 미래로 371,(동패동)씨티타워 8층804호커브스,10905,0319421363,커브스근력운동,,1419001,2024,09,20240901,20240930,1,110000.00000,37.7110941429996,126.745845662218
1020805383,커브스운정클럽,25,헬스,41,경기,41480,파주시,경기도 파주시 미래로 371,(동패동)씨티타워 8층804호커브스,10905,0319421363,커브스근력운동,,1419001,2024,10,20241001,20241031,1,110000.00000,37.7110941429996,126.745845662218
1022062692,바디샵필라테스피티,79,필라테스,11,서울,11470,양천구,서울특별시 양천구 중앙로 280,4층(신정동),08026,0261041253,그룹필라테스 이용권,,6047014,2024,09,20240901,20240930,2,110000.00000,37.5213761159391,126.852729159683
1022062692,바디샵필라테스피티,79,필라테스,11,서울,11470,양천구,서울특별시 양천구 중앙로 280,4층(신정동),08026,0261041253,그룹필라테스 이용권,,6047014,2024,10,20241001,20241031,2,110000.00000,37.5213761159391,126.852729159683
1022593259,천하체육관,03,기타종목,43,충북,43730,옥천군,충청북도 옥천군 옥천읍 중앙로 79,천하체육관,29032,0437332116,킥복싱 무에타이 주짓수,,3689014,2024,09,20240901,20240930,2,110000.00000,36.3040717765779,127.570742280158
