BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC
1029300915,경희대석사 슈퍼키즈태권도,22,태권도,41,경기,41220,평택시,경기도 평택시 고덕면 고덕국제대로 180,동양파라곤 단지내상가 103호 경희대석사 슈퍼키즈태권도(고덕국제신도시파라곤),17770,,슈퍼키즈 태권도,212589,2024,09,20240901,20240930,4,100000.00000
1059083160,성산경원태권도,22,태권도,11,서울,11440,마포구,서울 마포구 중동 1~99,64-25현대상가4층9호,12187,023032671,태권도,170736,2024,09,20240901,20240930,6,100000.00000
1069057267,경희대효태권도교육관,22,태권도,11,서울,11170,용산구,서울 용산구 도원동 삼성래미안아파트,상가 401호 경희대효태권도 교육관,14074,027157892,태권도 및  줄넘기,14812,2024,09,20240901,20240930,1,100000.00000
1069060291,경희태권도,22,태권도,11,서울,11170,용산구,서울 용산구 이촌2동 192~197,193-4,14085,027150742,태권도,53507,2024,09,20240901,20240930,1,150000.00000
1069060291,경희태권도,22,태권도,11,서울,11170,용산구,서울 용산구 이촌2동 192~197,193-4,14085,027150742,태권도,53874,2024,09,20240901,20240930,1,160000.00000
1069060291,경희태권도,22,태권도,11,서울,11170,용산구,서울 용산구 이촌2동 192~197,193-4,14085,027150742,태권도,53507,2024,10,20241001,20241031,1,150000.00000
1069060291,경희태권도,22,태권도,11,서울,11170,용산구,서울 용산구 이촌2동 192~197,193-4,14085,027150742,태권도,53874,2024,10,20241001,20241031,1,160000.00000
1069060291,경희태권도,22,태권도,11,서울,11170,용산구,서울 용산구 이촌2동 192~197,193-4,14085,027150742,태권도,53874,2024,11,20241101,20241130,0,160000.00000
1108210795,서부재활체육센터,12,수영,11,서울,11380,은평구,서울 은평구 구산동 사회복지법인은평천사원,191-1 서부재활체육센터,12271,023886622,은평천사원,165620,2024,09,20240901,20240930,5,100000.00000
1108210795,서부재활체육센터,04,농구,11,서울,11380,은평구,서울 은평구 구산동 사회복지법인은평천사원,191-1 서부재활체육센터,12271,023886622,토요농구 B,1933527,2024,09,20240901,20240930,1,52000.00000
